Date,GLD,JPM,QQQ,SPY,TLT
2021-01-04,182.3300018310547,110.05191040039062,300.1631164550781,344.2567443847656,134.200439453125
2021-01-05,182.8699951171875,110.6507339477539,302.6377258300781,346.6277160644531,133.20376586914062
2021-01-06,179.89999389648438,115.84644317626953,298.4454650878906,348.70001220703125,130.4692840576172
2021-01-07,179.47999572753906,119.6507339477539,305.6654357910156,353.8808898925781,129.31930541992188
2021-01-08,173.33999633789062,119.78285217285156,309.5957336425781,355.8971862792969,128.90188598632812
2021-01-11,173.0,121.57049560546875,305.1220703125,353.4981689453125,128.68899536132812
2021-01-12,174.1199951171875,123.48148345947266,304.6368713378906,353.57281494140625,128.58668518066406
2021-01-13,173.3699951171875,123.59595489501953,306.6941223144531,354.5249938964844,130.0348358154297
2021-01-14,173.27999877929688,124.3180923461914,305.05413818359375,353.28338623046875,128.81674194335938
2021-01-15,171.1300048828125,122.09008026123047,302.6377258300781,350.7070007324219,129.32786560058594
2021-01-19,172.5800018310547,121.56169891357422,307.0531921386719,353.4608154296875,129.7452392578125
2021-01-20,175.38999938964844,119.73880004882812,314.19549560546875,358.3522644042969,129.873046875
2021-01-21,175.27999877929688,118.7348861694336,316.7089538574219,358.6789245605469,128.9615020751953
2021-01-22,173.89999389648438,117.81903076171875,315.79669189453125,357.4094543457031,129.37893676757812
2021-01-25,174.0500030517578,116.34839630126953,318.40716552734375,358.8190612792969,130.90371704101562
2021-01-26,173.6199951171875,115.87284851074219,318.873046875,358.25897216796875,130.65672302246094
2021-01-27,172.52000427246094,112.59693145751953,309.9838562011719,349.50286865234375,130.98890686035156
2021-01-28,172.67999267578125,114.57833099365234,311.8179931640625,352.50872802734375,130.26486206054688
2021-01-29,172.61000061035156,113.31021881103516,305.2578125,345.45159912109375,129.4811553955078
2021-02-01,174.22999572753906,114.14682006835938,312.8854064941406,351.2018127441406,129.63125610351562
2021-02-02,172.11000061035156,117.66053009033203,317.9898986816406,356.1678771972656,128.79550170898438
2021-02-03,171.85000610351562,119.00786590576172,316.728271484375,356.44793701171875,127.65266418457031
2021-02-04,168.14999389648438,121.74662017822266,320.4741516113281,360.49920654296875,127.31157684326172
2021-02-05,169.80999755859375,121.50887298583984,321.5610046386719,361.9180908203125,126.24547576904297
2021-02-08,171.52000427246094,123.41101837158203,323.71533203125,364.5318908691406,126.79984283447266
2021-02-09,172.0800018310547,122.91785430908203,323.64752197265625,364.2890319824219,126.89364624023438
2021-02-10,172.7100067138672,122.98832702636719,322.90997314453125,364.13037109375,127.7379150390625
2021-02-11,171.2100067138672,122.64485931396484,324.6856994628906,364.718505859375,127.03865051269531
2021-02-12,170.69000244140625,124.38851165771484,326.5005798339844,366.520263671875,125.46092987060547
2021-02-16,168.24000549316406,127.38264465332031,325.6174621582031,366.2027587890625,123.55049133300781
2021-02-17,166.3300018310547,127.7789077758789,324.0550231933594,366.2867736816406,124.33509826660156
2021-02-18,166.32000732421875,128.21047973632812,322.6383056640625,364.7278137207031,123.83197021484375
2021-02-19,167.00999450683594,130.35035705566406,321.2311096191406,364.0837097167969,122.1860122680664
2021-02-22,169.50999450683594,131.57440185546875,312.9047546386719,361.2833557128906,121.25634765625
2021-02-23,169.1199951171875,132.63119506835938,311.97320556640625,361.7220458984375,120.9067153930664
2021-02-24,169.0,134.96484375,314.5448913574219,365.7080078125,120.1135482788086
2021-02-25,165.82000732421875,133.13311767578125,303.5790100097656,356.89599609375,118.1520767211914
2021-02-26,161.80999755859375,129.601806640625,304.8503723144531,355.0569763183594,122.0580825805664
2021-03-01,161.52999877929688,132.53431701660156,314.0207824707031,363.6637878417969,120.44599914550781
2021-03-02,162.41000366210938,132.10281372070312,308.9842834472656,360.82598876953125,120.4544677734375
2021-03-03,160.6199951171875,134.6566619873047,300.01751708984375,356.0465087890625,119.14812469482422
2021-03-04,159.0399932861328,132.5871124267578,295.1071472167969,351.64056396484375,118.37960052490234
2021-03-05,159.13999938964844,132.8953857421875,299.5517272949219,358.10955810546875,118.61017608642578
2021-03-08,157.49000549316406,134.6566619873047,291.0701599121094,356.32659912109375,117.68800354003906
2021-03-09,160.83999633789062,133.70553588867188,302.5504150390625,361.4140625,119.31884002685547
2021-03-10,161.66000366210938,136.61163330078125,301.6867370605469,363.6637878417969,119.55792236328125
2021-03-11,161.52000427246094,135.89830017089844,308.635009765625,367.3509826660156,118.6955337524414
2021-03-12,161.49000549316406,137.50982666015625,306.1312255859375,367.84564208984375,116.17662048339844
2021-03-15,162.1999969482422,136.8229522705078,309.4015808105469,370.0393371582031,116.8597640991211
2021-03-16,162.35000610351562,135.1850128173828,311.099853515625,369.57257080078125,116.39016723632812
2021-03-17,163.50999450683594,136.5763702392578,312.3807678222656,370.832763671875,115.5191650390625
2021-03-18,162.55999755859375,138.83078002929688,302.8123779296875,365.4373474121094,114.34935760498047
2021-03-19,163.24000549316406,136.6204071044922,303.8798828125,364.7610778808594,115.05811309814453
2021-03-22,163.0,132.9481964111328,309.5785827636719,367.67376708984375,116.34741973876953
2021-03-23,161.80999755859375,131.6184539794922,308.22802734375,364.7798156738281,117.39772033691406
2021-03-24,162.3699951171875,132.63998413085938,303.0296936035156,362.9255065917969,118.0295181274414
2021-03-25,161.77999877929688,134.33958435058594,302.50494384765625,364.9672546386719,117.09883880615234
2021-03-26,162.24000549316406,136.5763702392578,307.0425109863281,370.8486022949219,116.68900299072266
2021-03-29,160.30999755859375,134.45408630371094,306.95513916015625,370.6612854003906,115.6984634399414
