Model,95% VaR,99% VaR,95% ES,99% ES
Historical,0.012875807015717167,0.0216606904313724,0.018724268859357324,0.02899573386096605
Parametric,0.013037589103114833,0.018617109733634632,0.016458680225338647,0.02139147177450668
Monte Carlo (Gaussian),0.013087550979232431,0.018633302468442782,0.016471577174586804,0.021277129281556402
"Monte Carlo (Student-t, ν=4.6)",0.012597691644234533,0.020155883959860253,0.01738753900117266,0.025934327013088357
